id,run_mode_id,operator,machine,part_number,job,ideal_units_per_hour,ideal_cycle_time_seconds,start_date,end_date,active,notes,cavity_count,entry_mode,machine_cycle_time,created_by,created_at,updated_by,updated_at
79,1,Any,600T Comp,121-005933,SO# 645260 / 645260,6.0,600.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.279512,,2026-02-27 01:21:45.279598
80,1,Any,600T Comp,121-005935,SO# 645270 / 645270,6.0,600.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.279781,,2026-02-27 01:21:45.279862
81,1,Any,600T Comp,52006404,SO# 649700 / 649700,200.0,18.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.280041,,2026-02-27 01:21:45.280130
82,1,Any,600T Comp,4668167,SO# 650080/ 650080,1371.42857142857,2.625,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.280339,,2026-02-27 01:21:45.280419
83,1,Any,600T Comp,52002750,SO# 651060 / 651060,122.5,29.3877551020408,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.280609,,2026-02-27 01:21:45.280691
84,1,Any,600T Comp,04656464AA,SO# 651970 / 651970,240.0,15.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.280869,,2026-02-27 01:21:45.280956
85,1,Any,600T Comp,52009562,SO# 652170 / 652170,32.0000719889874,112.499746914286,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.281140,,2026-02-27 01:21:45.281225
86,1,Any,600T Comp,024209-000,SO# 652390 / 652390,12.5874125874126,286.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.281437,,2026-02-27 01:21:45.281518
87,1,Any,600T Comp,26953,SO# 652400 / 652400,13.49999983125,266.66667,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.281698,,2026-02-27 01:21:45.281780
88,1,Any,150T,GAFRW23675,SO# 652540 / 652540,12.5002138464318,287.9950730625,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.281968,,2026-02-27 01:21:45.282052
89,1,Any,600T Comp,14044083,SO# 653360 / 653360,36.0,100.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.282256,,2026-02-27 01:21:45.282348
90,1,Any,800T Comp,C-30861,SO# 653690 / 653690,20.0,180.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.282532,,2026-02-27 01:21:45.282614
91,1,Any,Hend Assy,019279-000,SO# 654100 / 654100,22.5,160.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.282800,,2026-02-27 01:21:45.282885
92,1,Any,Hend Assy,006966-000,SO# 654580 / 654580,31.25,115.2,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.283113,,2026-02-27 01:21:45.283308
93,1,Any,ASY,060374-000,SO# 654590 / 654590,4.0,900.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.283640,,2026-02-27 01:21:45.283739
94,1,Any,800T INJ,18-40587-000,SO# 654600 / 654600,17.0001883243084,211.76236,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.283943,,2026-02-27 01:21:45.284040
95,1,Any,800T INJ,18-41503-000,SO# 654650 / 654650,34.001884610416,105.8764842375,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.284267,,2026-02-27 01:21:45.284367
96,1,Any,800T INJ,18-41503-001,SO# 654680 / 654680,17.000942305208,211.752968475,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.284552,,2026-02-27 01:21:45.284636
97,1,Any,800T INJ,18-41503-002,SO# 654690 / 654690,17.000942305208,211.752968475,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.284828,,2026-02-27 01:21:45.284916
98,1,Any,600T Comp,16-15888-000,SO# 654930 / 654930,169.411764705882,21.25,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.285108,,2026-02-27 01:21:45.285192
99,1,Any,800T INJ,59257-000S,SO# 655370/ 655370,26.6666666666667,135.0,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.285402,,2026-02-27 01:21:45.285486
100,1,Any,800T INJ,18-41503-003,SO# 655440 / 655440,34.001884610416,105.8764842375,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.285668,,2026-02-27 01:21:45.285755
101,1,Any,800T INJ,18-41503-004,SO# 655450 / 655450,34.001884610416,105.8764842375,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.285943,,2026-02-27 01:21:45.286045
102,1,Any,800T INJ,25728544,SO# 655620 / 655620,114.000080750057,31.578925,2026-02-27,,True,Hardcoded Seed Data,1,seconds,,,2026-02-27 01:21:45.286227,,2026-02-27 01:21:45.286338
